names,date_x,score,genre,overview,crew,orig_title,orig_lang,budget_x,revenue,country,season,event_week,budget_ranges,sequels,star_actor,audienceScore
to catch a killer,4/21/2023,0,"Action, Crime, Thriller, Mystery",Baltimore. New Year's Eve. A talented but troubled police officer is recruited by the FBI's chief investigator to help profile and track down a mass murderer.,"Shailene Woodley, Eleanor Falco, Ben Mendelsohn, Geoffrey Lammark, Jovan Adepo, MacKenzie, Ralph Ineson, Dean Possey, Rosemary Dunsmore, Mrs. Possey, Jason Cavalier, Marquand, Mark Camacho, Chief Karl Jackson, Darcy Laurie, Ramsey Lang, Karine Dion, Mrs. Miller",To Catch a Killer,English,231940000.0,175269998.8,US,Spring,None,Big Budget,0,0,
cadaver,10/22/2020,56,"Drama, Horror, Thriller","In the aftermath of a nuclear disaster, a starving family find hope in a charismatic hotel owner. Lured by the prospect of a free dinner, they discover that the evening's entertainment blurs the lines between performance and reality. Will they wind up the spectators or the spectacle?","Gitte Witt, Leonora, Thomas Gullestad, Jacob, Thorbjørn Harr, Mathias, Tuva Olivia Remman, Alice, Trine Wiggen, Rakel, Maria Grazia Di Meo, Kathrine, Kingsford Siayor, Lars, Jonatan Rodriguez, David, Stig Frode Henriksen, Hans",Kadaver,Norwegian,131800000.0,587720958.2,AU,Autumn,None,Mid Budget,0,1,
james corden's top gun training with tom cruise,6/1/2022,61,"Action, Comedy, Documentary","When ""Top Gun: Maverick"" star Tom Cruise calls you up to hang out for the day, you say yes. And for James Corden, that meant having Tom pilot you in two different fighter planes, pushing the limits of gravity and James's stomach.","Tom Cruise, Self, James Corden, Self",James Corden's Top Gun Training with Tom Cruise,English,69400000.0,641320124.2,US,Summer,None,Mid Budget,0,1,
jackass 4.5,5/20/2022,65,"Comedy, Action, Documentary","Through outrageous, never-before-seen footage, witness the making of the Jackass crew's last go at wild stunts.","Johnny Knoxville, Self, Steve-O, Self, Chris Pontius, Self, Dave England, Self, Ehren McGhehey, Self, Jason Acuña, Self, Preston Lacy, Self, Zach Holmes, Self, Sean «Poopies» McInerney, Self",Jackass 4.5,English,137040000.0,749887667.6,AU,Spring,None,Mid Budget,1,1,
valiant hearts,5/11/2022,47,Drama,"In August 1942, during the Second World War, Six Jewish children are trying to escape the Nazis. They are hidden by the resistance in the Chambord Castle, where paintings from Le Louvre are being stored as well. The Nazis are looking for paintings from private collections that would be hidden there as well.","Camille Cottin, Rose, Swann Arlaud, Curator, Patrick d'Assumçao, Vicar, Anne-Lise Heimburger, German officer, Maé Roudet-Rubens, Hannah, Leo Riehl, Jacques, Ferdinand Redouloux, Josef, Lila-Rose Gilberti, Clara, Asia Suissa-Fuller, Henriette",Cœurs vaillants,French,167000000.0,660864312.8,FR,Spring,None,Big Budget,0,1,
"one year, one night",10/21/2022,64,Drama,"Ramón and Céline are a young couple that attended a concert at the Bataclan theatre in Paris on the fateful night of November 13, 2015. They survive the attack, but when they leave the theatre, they are no longer the same. That night leaves a deep scar on both their lives and each tries to cope with the aftermath as best they can. Céline desperately tries to leave the events behind her, clinging to her previous life, while Ramón repeatedly goes back to that night, trying to remember and understand what happened. Nonetheless, they both face the same key question: how to reconnect and move on together?","Nahuel Pérez Biscayart, Ramón, Noémie Merlant, Céline, Quim Gutiérrez, Carlos, Alba Guilera, Lucie, Natalia de Molina, Julia, C. Tangana, Héctor, Enric Auquer, Waiter, Blanca Apilánez, , Bruno Todeschini,","Un año, una noche",French,80400000.0,411716817.2,ES,Autumn,None,Mid Budget,0,1,
survive the game,10/8/2021,56,"Action, Thriller, Crime","When cop David is injured in a drug bust gone wrong, his partner Cal chases the two criminals who shot him. They all land at a remote farm owned by troubled vet Eric, and as Cal and Eric plot their defense, more of the gang arrives - along with a wounded David. Outnumbered, the three heroes must use stealth, smarts, and good shooting to take down the drug-dealing mob.","Chad Michael Murray, Eric, Swen Temmel, Cal, Bruce Willis, David, Michael Sirow, Frank, Kate Katzman, Violet, Sean Kanan, Ed, Simon Phillips, English, Zack Ward, Jean, Donna D'Errico, Carly",Survive the Game,English,125600000.0,403087774.0,US,Autumn,None,Mid Budget,0,1,
pride: a seven deadly sins story,4/8/2023,0,Thriller,"Bakery owner and reality TV star Birdie Moore’s (Stephanie Mills) world begins to fall a part once her family secrets are put in the spotlight. As the secrets begin to threaten her reputation, Birdie concedes and lets go of her pride in order to maintain her legacy.  (from an article on variety.com)","Stephanie Mills, Birdie Moore, Thomas Miles, Gabe Moore, Keeya King, Ella Boudreaux",Pride: A Seven Deadly Sins Story,English,160940000.0,178359863.0,US,Spring,None,Big Budget,0,0,
open 24 hours,8/18/2020,57,"Horror, Thriller","After setting her serial killer boyfriend on fire, a paranoid delusional woman gets a job at an all-night gas station. The isolation triggers her anxiety and hallucinations, with devastatingly gory results.","Vanessa Grasse, Mary, Emily Tennant, Debbie, Brendan Fletcher, Bobby, Cole Vigue, James, Daniel O'Meara, Tom Doogan, Selina Giles, Karen Rogers, Tomi May, Bubba Jackson, Jovana Miletic, Girl in the Bathroom, Connor Catchpole, Teenage Boy",Open 24 Hours,English,85200000.0,419234293.4,US,Summer,None,Mid Budget,0,1,
caged,1/26/2021,65,"Thriller, Horror, Drama","An African American male is imprisoned and placed in solitary confinement after being found guilty of murdering his wife, as he's haunted by internal demons and his dead wife, and pushed to the breaking point by an abusive female guard.","Edi Gathegi, Harlow Reid, Melora Hardin, Officer Sacks, Angela Sarafyan, Amber Reid, Tony Amendola, Warden Perez, Robert R. Shafer, Officer Ganser, James Jagger, Zeke, Chris Blasman, Rookie Guard",Caged,English,57200000.0,383014716.6,US,Winter,None,Mid Budget,0,0,
